service_id,date,exception_type
98_8__518___,2025-07-28,2
98_8__518___,2025-07-29,2
98_8__518___,2025-07-30,2
98_8__518___,2025-07-31,2
569_8__519___,2025-07-24,2
395_8__519_A__,2025-07-25,2
395_8__519_A__,2025-08-15,2
106_8__520___,2025-07-25,2
106_8__520___,2025-07-26,2
106_8__520___,2025-07-27,2
108_8__520___,2025-07-25,2
108_8__520___,2025-07-26,2
108_8__520___,2025-07-27,2
109_8__520___,2025-07-25,2
109_8__520___,2025-07-26,2
109_8__520___,2025-07-27,2
110_8__520___,2025-07-25,2
110_8__520___,2025-07-26,2
110_8__520___,2025-07-27,2
111_8__520___,2025-07-25,2
111_8__520___,2025-07-26,2
111_8__520___,2025-07-27,2
112_8__520___,2025-07-25,2
112_8__520___,2025-07-26,2
112_8__520___,2025-07-27,2
113_8__520___,2025-07-25,2
113_8__520___,2025-07-26,2
113_8__520___,2025-07-27,2
115_8__520___,2025-07-25,2
115_8__520___,2025-08-15,2
570_8__521___,2025-07-24,2
578_8__521___,2025-07-24,2
126_8__521___,2025-07-25,2
126_8__521___,2025-07-27,2
126_8__521___,2025-08-01,2
126_8__521___,2025-08-08,2
128_8__521___,2025-07-25,2
128_8__521___,2025-07-27,2
128_8__521___,2025-08-01,2
128_8__521___,2025-08-08,2
129_8__521___,2025-07-25,2
129_8__521___,2025-07-27,2
129_8__521___,2025-08-01,2
129_8__521___,2025-08-08,2
550_8__521___,2025-07-25,2
550_8__521___,2025-07-27,2
550_8__521___,2025-08-01,2
550_8__521___,2025-08-08,2
552_8__521___,2025-07-25,2
552_8__521___,2025-07-27,2
552_8__521___,2025-08-01,2
552_8__521___,2025-08-08,2
553_8__521___,2025-07-25,2
553_8__521___,2025-07-27,2
553_8__521___,2025-08-01,2
553_8__521___,2025-08-08,2
554_8__521___,2025-07-25,2
554_8__521___,2025-07-27,2
554_8__521___,2025-07-28,2
554_8__521___,2025-07-29,2
554_8__521___,2025-07-30,2
554_8__521___,2025-07-31,2
555_8__521___,2025-07-25,2
555_8__521___,2025-07-27,2
555_8__521___,2025-08-01,2
555_8__521___,2025-08-08,2
557_8__521___,2025-07-25,2
557_8__521___,2025-07-27,2
557_8__521___,2025-08-01,2
557_8__521___,2025-08-08,2
241_8__522___,2025-07-24,2
241_8__522___,2025-07-27,2
241_8__522___,2025-08-04,2
241_8__522___,2025-08-05,2
241_8__522___,2025-08-06,2
241_8__522___,2025-08-07,2
241_8__522___,2025-08-11,2
241_8__522___,2025-08-12,2
241_8__522___,2025-08-13,2
241_8__522___,2025-08-14,2
242_8__522___,2025-07-24,2
244_8__522___,2025-07-24,2
244_8__522___,2025-07-27,2
244_8__522___,2025-08-04,2
244_8__522___,2025-08-05,2
244_8__522___,2025-08-06,2
244_8__522___,2025-08-07,2
244_8__522___,2025-08-11,2
244_8__522___,2025-08-12,2
244_8__522___,2025-08-13,2
244_8__522___,2025-08-14,2
245_8__522___,2025-07-24,2
246_8__522___,2025-07-24,2
247_8__522___,2025-07-24,2
560_8__522___,2025-07-24,2
560_8__522___,2025-07-25,2
560_8__522___,2025-07-27,2
561_8__522___,2025-07-24,2
562_8__522___,2025-07-24,2
562_8__522___,2025-07-27,2
562_8__522___,2025-08-04,2
562_8__522___,2025-08-05,2
562_8__522___,2025-08-06,2
562_8__522___,2025-08-07,2
562_8__522___,2025-08-11,2
562_8__522___,2025-08-12,2
562_8__522___,2025-08-13,2
562_8__522___,2025-08-14,2
563_8__522___,2025-07-24,2
564_8__522___,2025-07-24,2
564_8__522___,2025-07-25,2
564_8__522___,2025-08-15,2
565_8__522___,2025-07-24,2
566_8__522___,2025-07-24,2
566_8__522___,2025-07-25,2
566_8__522___,2025-08-15,2
567_8__522___,2025-07-24,2
567_8__522___,2025-07-27,2
567_8__522___,2025-08-04,2
567_8__522___,2025-08-05,2
567_8__522___,2025-08-06,2
567_8__522___,2025-08-07,2
567_8__522___,2025-08-11,2
567_8__522___,2025-08-12,2
567_8__522___,2025-08-13,2
567_8__522___,2025-08-14,2
568_8__522___,2025-07-24,2
569_8__522___,2025-07-24,2
738_8__522___,2025-07-24,2
739_8__522___,2025-07-24,2
740_8__522___,2025-07-24,2
741_8__522___,2025-07-24,2
556_8__522___,2025-07-28,2
556_8__522___,2025-07-29,2
556_8__522___,2025-07-30,2
556_8__522___,2025-07-31,2
556_8__522___,2025-08-15,2
547_8__523___,2025-07-24,2
550_8__523___,2025-07-24,2
550_8__523___,2025-07-25,2
550_8__523___,2025-08-15,2
552_8__523___,2025-07-24,2
552_8__523___,2025-07-25,2
552_8__523___,2025-08-15,2
555_8__523___,2025-07-24,2
555_8__523___,2025-07-25,2
555_8__523___,2025-07-27,2
561_8__523___,2025-07-28,2
561_8__523___,2025-07-29,2
561_8__523___,2025-07-30,2
561_8__523___,2025-07-31,2
561_8__523___,2025-08-15,2
553_8__523___,2025-07-28,2
553_8__523___,2025-07-29,2
553_8__523___,2025-07-30,2
553_8__523___,2025-07-31,2
553_8__523___,2025-08-15,2
559_8__523___,2025-07-27,2
559_8__523___,2025-07-28,2
559_8__523___,2025-07-29,2
559_8__523___,2025-07-30,2
559_8__523___,2025-07-31,2
596_8__524___,2025-07-24,2
599_8__524___,2025-07-24,2
599_8__524___,2025-07-26,2
599_8__524___,2025-08-04,2
599_8__524___,2025-08-05,2
599_8__524___,2025-08-06,2
599_8__524___,2025-08-07,2
599_8__524___,2025-08-11,2
599_8__524___,2025-08-12,2
599_8__524___,2025-08-13,2
599_8__524___,2025-08-14,2
580_8__524___,2025-07-25,2
580_8__524___,2025-07-27,2
580_8__524___,2025-07-28,2
580_8__524___,2025-07-29,2
580_8__524___,2025-07-30,2
580_8__524___,2025-08-01,2
580_8__524___,2025-08-08,2
582_8__524___,2025-07-25,2
582_8__524___,2025-07-27,2
582_8__524___,2025-07-28,2
582_8__524___,2025-07-29,2
