shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9__1__013__1_-_IT_1,40.0345269585562,-3.61783386984079,1000001,0.0
9__1__013__1_-_IT_1,40.0345387269612,-3.6177601951994,1000002,0.006420176462
9__1__013__1_-_IT_1,40.0345337380432,-3.61772391145079,1000003,0.015985203044
9__1__013__1_-_IT_1,40.0345261086463,-3.61769687395839,1000004,0.028007578737
9__1__013__1_-_IT_1,40.0345171603552,-3.61767403824246,1000005,0.042216842367
9__1__013__1_-_IT_1,40.0345056129238,-3.61765286455214,1000006,0.058641127306
9__1__013__1_-_IT_1,40.0344920943406,-3.6176367306602,1000007,0.077101665964
9__1__013__1_-_IT_1,40.0344746712151,-3.61762393131335,1000008,0.097783108025
9__1__013__1_-_IT_1,40.0344520614841,-3.61761192909128,1000009,0.121174996381
9__1__013__1_-_IT_1,40.0344003769653,-3.6175853369849,1000010,0.150735952437
9__1__013__1_-_IT_1,40.0338654550965,-3.61730829856466,1000011,0.244202422527
9__1__013__1_-_IT_1,40.0333776603573,-3.61706202948629,1000012,0.395745740516
9__1__013__1_-_IT_1,40.0331146326495,-3.61694251671649,1000013,0.578213269788
9__1__013__1_-_IT_1,40.0330823458711,-3.61692284215256,1000014,0.764638136229
9__1__013__1_-_IT_1,40.0330669018406,-3.61690331935927,1000015,0.953453210805
9__1__013__1_-_IT_1,40.0330598975778,-3.61688050175056,1000016,1.144364605197
9__1__013__1_-_IT_1,40.0330600770268,-3.61684679355995,1000017,1.338152099589
9__1__013__1_-_IT_1,40.0330686684201,-3.61681484658103,1000018,1.534827348712
9__1__013__1_-_IT_1,40.03308116972,-3.61677872006239,1000019,1.734882885996
9__1__013__1_-_IT_1,40.0337096057296,-3.61518566243482,1000020,2.087713021594
9__1__013__1_-_IT_1,40.0337728291328,-3.61501900883692,1000021,2.456399515135
9__1__013__1_-_IT_1,40.0338663529017,-3.61481716574025,1000022,2.845194026903
9__1__013__1_-_IT_1,40.0339546810816,-3.61462641374793,1000023,3.252988380861
9__1__013__1_-_IT_1,40.0342932202035,-3.61374299109182,1000024,3.745003580399
9__1__013__1_-_IT_1,40.0344459635373,-3.61335012886163,1000025,4.2745813299
9__1__013__1_-_IT_1,40.0350088127186,-3.61181164309528,1000026,4.949530193519
9__1__013__1_-_IT_1,40.0350194369188,-3.61174491893903,1000027,5.63029274346
9__1__013__1_-_IT_1,40.0350180073587,-3.61169145018659,1000028,6.315619949411
9__1__013__1_-_IT_1,40.035006234904,-3.61165125332212,1000029,7.004617203357
9__1__013__1_-_IT_1,40.034978984305,-3.61162428248173,1000030,7.697414957303
9__1__013__1_-_IT_1,40.0349124628427,-3.61157691445477,1000031,8.398629913372
9__1__013__1_-_IT_1,40.0346787057372,-3.61142559765201,1000032,9.128825164017
9__1__013__1_-_IT_1,40.0342606166986,-3.61116572538016,1000033,9.910450840143
9__1__013__1_-_IT_1,40.0340289826639,-3.61099696869678,1000034,10.721543824518
9__1__013__1_-_IT_1,40.0339841256505,-3.61095966537291,1000035,11.538546043412
9__1__013__1_-_IT_1,40.0339571721149,-3.61091801519228,1000036,12.360193512031
9__1__013__1_-_IT_1,40.0339368740267,-3.61087106215119,1000037,13.186437100144
9__1__013__1_-_IT_1,40.033928631358,-3.61081085144163,1000038,14.017898714575
9__1__013__1_-_IT_1,40.033799934828,-3.60891429248445,1000039,15.01180470688
9__1__013__1_-_IT_1,40.0337938934645,-3.60876055686826,1000040,16.018844618084
9__1__013__1_-_IT_1,40.0337856028913,-3.60870925625582,1000041,17.03035720571
9__1__013__1_-_IT_1,40.0337737825942,-3.60867796917474,1000042,18.04484421096
9__1__013__1_-_IT_1,40.0337585153768,-3.60865110653467,1000043,19.062181576209
9__1__013__1_-_IT_1,40.033731181271,-3.60863972762833,1000044,20.082704428903
9__1__013__1_-_IT_1,40.0336844116116,-3.6086403386128,1000045,21.108418720728
9__1__013__1_-_IT_1,40.0336844116116,-3.6086403386128,2000001,21.108418720728
9__1__013__1_-_IT_1,40.0330112080816,-3.60870187118263,2000002,21.183324848827
9__1__013__1_-_IT_1,40.0322173480672,-3.6087776111169,2000003,21.34658175137
9__1__013__1_-_IT_1,40.0321890520799,-3.60877919965982,2000004,21.512982276838
9__1__013__1_-_IT_1,40.0321721191364,-3.60877168862459,2000005,21.681368522941
9__1__013__1_-_IT_1,40.0321627784472,-3.60875238041624,2000006,21.851701275681
9__1__013__1_-_IT_1,40.0321536026658,-3.60858006705826,2000007,22.036771464535
9__1__013__1_-_IT_1,40.0321299195481,-3.60800569573344,2000008,22.270918897588
9__1__013__1_-_IT_1,40.0320997577505,-3.60739327999196,2000009,22.557426321541
9__1__013__1_-_IT_1,40.0320758627153,-3.60701753027628,2000010,22.876103187636
9__1__013__1_-_IT_1,40.0320758627153,-3.60701753027628,3000001,22.876103187636
9__1__013__1_-_IT_1,40.0320499124114,-3.60639646901627,3000002,22.929171959014
9__1__013__1_-_IT_1,40.0320438630702,-3.60627702460984,3000003,22.99245413173
9__1__013__1_-_IT_1,40.032037897868,-3.60614130002922,3000004,23.067335590983
9__1__013__1_-_IT_1,40.0320041229348,-3.60542031634989,3000005,23.203847389655
9__1__013__1_-_IT_1,40.0319631883188,-3.60447134307769,3000006,23.421455490187
9__1__013__1_-_IT_1,40.0319504767467,-3.60418903567216,3000007,23.663192104243
9__1__013__1_-_IT_1,40.031945004767,-3.6041184383034,3000008,23.910982819036
9__1__013__1_-_IT_1,40.0319361278214,-3.6040608358755,3000009,24.163786118986
9__1__013__1_-_IT_1,40.031927182061,-3.60401625664936,3000010,24.420520505291
9__1__013__1_-_IT_1,40.0319207399543,-3.60397169951877,3000011,24.68112328595
9__1__013__1_-_IT_1,40.0319159154305,-3.60393692567957,3000012,24.944741002471
9__1__013__1_-_IT_1,40.0319159154305,-3.60393692567957,4000001,24.944741002471
9__1__013__1_-_IT_1,40.0319168571631,-3.60391631180975,4000002,24.946502937489
9__1__013__1_-_IT_1,40.0319203016622,-3.60389572001267,4000003,24.950062937137
9__1__013__1_-_IT_1,40.0319262432658,-3.60387623672438,4000004,24.955411339838
9__1__013__1_-_IT_1,40.0319297160359,-3.60385021859074,4000005,24.96301289642
9__1__013__1_-_IT_1,40.0318994644484,-3.6032508293877,4000006,25.021866088364
9__1__013__1_-_IT_1,40.0318546575627,-3.602241043576,4000007,25.167020424373
9__1__013__1_-_IT_1,40.0318371210643,-3.60192287686219,4000008,25.339391328675
9__1__013__1_-_IT_1,40.0318048783825,-3.60131148763181,4000009,25.564050307994
9__1__013__1_-_IT_1,40.0317956642198,-3.6012300503456,4000010,25.795732611178
9__1__013__1_-_IT_1,40.0317843215814,-3.60116482839452,4000011,26.033120471472
9__1__013__1_-_IT_1,40.0317705042835,-3.60109415817178,4000012,26.27673009944
9__1__013__1_-_IT_1,40.0317649459711,-3.60103984134877,4000013,26.525015079296
9__1__013__1_-_IT_1,40.0317649459711,-3.60103984134877,5000001,26.525015079296
9__1__013__1_-_IT_1,40.0317701203932,-3.60100732618357,5000002,26.527848192595
9__1__013__1_-_IT_1,40.0317769858411,-3.60097048342774,5000003,26.533915879529
9__1__013__1_-_IT_1,40.0317821780296,-3.60093471246552,5000004,26.543089581161
9__1__013__1_-_IT_1,40.0317832655609,-3.60088588053642,5000005,26.556431511505
9__1__013__1_-_IT_1,40.0317428189533,-3.59999661175582,5000006,26.645781123366
9__1__013__1_-_IT_1,40.0317232340485,-3.59958942898551,5000007,26.769940701714
9__1__013__1_-_IT_1,40.0316955987098,-3.59896401760263,5000008,26.947550310929
9__1__013__1_-_IT_1,40.0316695715659,-3.59834947388798,5000009,27.177674139707
9__1__013__1_-_IT_1,40.0316697452925,-3.59831582955341,5000010,27.410668668485
9__1__013__1_-_IT_1,40.0316782400724,-3.5982865991736,5000011,27.646329498315
9__1__013__1_-_IT_1,40.0316908604062,-3.59826608733304,5000012,27.884232015288
9__1__013__1_-_IT_1,40.031709293425,-3.59825105283483,5000013,28.124549382886
9__1__013__1_-_IT_1,40.0317276816114,-3.59824470161455,5000014,28.366978451847
9__1__013__1_-_IT_1,40.0320832997718,-3.59820764953028,5000015,28.64900554181
9__1__013__1_-_IT_1,40.0321651502572,-3.59819099950046,5000016,28.940227978075
9__1__013__1_-_IT_1,40.0322019378322,-3.59817612522711,5000017,29.235726309265
9__1__013__1_-_IT_1,40.0322328959063,-3.59815902936953,5000018,29.53495759727
9__1__013__1_-_IT_1,40.0322630318255,-3.59813975567124,5000019,29.837916186986
9__1__013__1_-_IT_1,40.032283905971,-3.59813668205376,5000020,30.143206484414
9__1__013__1_-_IT_1,40.032283905971,-3.59813668205376,6000001,30.143206484414
9__1__013__1_-_IT_1,40.0323114158564,-3.59814126483051,6000002,30.146284861624
9__1__013__1_-_IT_1,40.0323380513733,-3.59815343606093,6000003,30.152496718186
9__1__013__1_-_IT_1,40.032371395464,-3.59815915396678,6000004,30.16244159854
9__1__013__1_-_IT_1,40.0324055962212,-3.59816053806645,6000005,30.176184407936
9__1__013__1_-_IT_1,40.0333644357834,-3.59804178815272,6000006,30.296834248592
9__1__013__1_-_IT_1,40.0333644357834,-3.59804178815272,7000001,30.296834248592
9__1__013__1_-_IT_1,40.0337170586592,-3.59799624215039,7000002,30.336165863109
9__1__013__1_-_IT_1,40.0337329227339,-3.5979906832316,7000003,30.377321059532
9__1__013__1_-_IT_1,40.0337481301118,-3.59798161171417,7000004,30.420333182282
9__1__013__1_-_IT_1,40.0337687806505,-3.59796250667604,7000005,30.466157912073
