stop_id,area_name,area_code
par_8_06175,Biblioteca Municipal - León Tolstoi,Q85696363
par_8_06176,Majadahonda,Q24012728
par_8_06177,Casa de Cultura Carmen Conde,Q16544067
par_8_06178,Hostal Doña Isabel,Q111117109
par_8_06179,Villafranca del Castillo,Q9094006
par_8_06180,Villafranca del Castillo,Q9094006
par_8_06181,Villafranca del Castillo,Q9094006
par_8_06182,Biblioteca de la Universidad Camilo José Cela,Q85699174
par_8_06183,Biblioteca de la Universidad Camilo José Cela,Q85699174
par_8_06184,iglesia de Santa María de la Soledad Torres Acosta (Villafranca del Castillo),Q110136489
par_8_06185,Mocha,Q115506201
par_8_06186,Mocha,Q115506201
par_8_06187,iglesia de Santa María de la Soledad Torres Acosta (Villafranca del Castillo),Q110136489
par_8_06188,iglesia de Santa María de la Soledad Torres Acosta (Villafranca del Castillo),Q110136489
par_8_06189,Biblioteca de la Universidad Camilo José Cela,Q85699174
par_8_06192,Villafranca del Castillo,Q9094006
par_8_06193,Parque del Sol,Q31919438
par_8_06196,Villanueva del Pardillo,Q24012653
par_8_06197,Villanueva de la Cañada,Q24012654
par_8_06198,Villanueva del Pardillo,Q24012653
par_8_06199,Parque Rosalía de Castro,Q31919506
par_8_06200,Parque Rosalía de Castro,Q31919506
par_8_06201,Parque del Sol,Q31919438
par_8_06203,Hostal Doña Isabel,Q111117109
par_8_06205,Majadahonda,Q24012728
par_8_06206,estación de Los Peñascales,Q92101032
par_8_06208,iglesia de San Miguel Arcángel,Q52635201
par_8_06211,Majadahonda,Q24012728
par_8_06212,Majadahonda,Q24012728
par_8_06215,Majadahonda,Q24012728
par_8_06216,Majadahonda,Q24012728
par_8_06218,apeadero de Majadahonda,Q2263478
par_8_06225,calle de Gerda Taro,Q30339411
par_8_06226,El Plantío,Q3773742
par_8_06227,El Plantío,Q3773742
par_8_06228,Hostal Aravaca Garden,Q111111737
par_8_06229,Hostal Aravaca Garden,Q111111737
par_8_06230,apeadero de Majadahonda,Q2263478
par_8_06232,MEC,Q33122139
par_8_06233,Biblioteca Municipal - Francisco Umbral,Q85698734
par_8_06234,Biblioteca Municipal - Francisco Umbral,Q85698734
par_8_06235,Auditorio Alfredo Kraus,Q5711411
par_8_06236,Majadahonda,Q24012728
par_8_06237,Majadahonda,Q24012728
par_8_06238,iglesia de San Miguel Arcángel,Q52635201
par_8_06240,Hostal Doña Isabel,Q111117109
par_8_06242,Hostal Doña Isabel,Q111117109
par_8_06244,Batalla de Majadahonda,Q4871641
par_8_06245,"Ermita del Santísimo Cristo de los Remedios, Majadahonda",Q136461362
par_8_06248,Biblioteca Municipal - León Tolstoi,Q85696363
par_8_06249,Majadahonda,Q24012728
par_8_06250,Majadahonda,Q24012728
par_8_06251,Auditorio Alfredo Kraus,Q5711411
par_8_06252,Biblioteca Municipal - Francisco Umbral,Q85698734
par_8_06253,Biblioteca Municipal - Francisco Umbral,Q85698734
par_8_06254,MEC,Q33122139
par_8_06255,calle de Gerda Taro,Q30339411
par_8_06256,apeadero de Majadahonda,Q2263478
par_8_06257,Hostal Aravaca Garden,Q111111737
par_8_06258,Colegio Japonés de Madrid,Q16258633
par_8_06259,Colegio Japonés de Madrid,Q16258633
par_8_06260,El Plantío,Q3773742
par_8_06261,calle de Gerda Taro,Q30339411
par_8_06262,Barranco del Rufo,Q24021402
par_8_06268,Ermita de Nuestra Señora del Buen Camino,Q110749205
par_8_06272,Cruceiro de la Ermita de Nuestra Señora del Buen Camino,Q110746608
par_8_06275,Capilla de Nuestra Señora de las Angustias (Colonia San José),Q132817711
par_8_06276,Capilla de Nuestra Señora de las Angustias (Colonia San José),Q132817711
par_8_06277,estación de Pozuelo,Q5846969
par_8_06278,Arroyo de las Cárcabas,Q24021392
par_8_06279,Arroyo de Bularas,Q24021386
par_8_06280,Cerro Perdigones Park,Q24023148
par_8_06281,casa consistorial de Pozuelo de Alarcón,Q126830182
par_8_06283,Unidad de Investigación en Salud Digital,Q108737740
par_8_06284,estación de Pozuelo,Q5846969
par_8_06285,"iglesia de Nuestra Señora del Carmen, Pozuelo de Alarcón",Q48876010
par_8_06286,ESIC Universidad,Q20977975
par_8_06287,casa consistorial de Pozuelo de Alarcón,Q126830182
par_8_06289,casa consistorial de Pozuelo de Alarcón,Q126830182
par_8_06291,Arroyo de Bularas,Q24021386
par_8_06292,Biblioteca de los Misioneros Oblatos de María Inmaculada,Q85698899
par_8_06293,Arroyo de las Cárcabas,Q24021392
par_8_06294,ESIC Universidad,Q20977975
par_8_06295,"iglesia de Nuestra Señora del Carmen, Pozuelo de Alarcón",Q48876010
par_8_06296,estación de Pozuelo,Q5846969
par_8_06297,estación de Pozuelo,Q5846969
par_8_06298,Capilla de Nuestra Señora de las Angustias (Colonia San José),Q132817711
par_8_06299,Capilla de Nuestra Señora de las Angustias (Colonia San José),Q132817711
par_8_06301,sede de la Audiencia Nacional en San Fernando de Henares,Q83057064
par_8_06347,Torreón de Pinto,Q9089137
par_8_06348,Cine Palacio,Q26186444
par_8_06349,Biblioteca Municipal - Volturno,Q85698926
par_8_06352,Aravaca,Q3314682
par_8_06354,estación de Villalba,Q931922
par_8_06368,Parque de bomberos de Collado Villalba,Q113372086
par_8_06391,Biblioteca de la Universidad a Distancia de Madrid (UDIMA) - Biblioteca Hipatia,Q85696189
par_8_06405,estación de Los Negrales,Q5846633
par_8_06413,plaza de toros de Las Rozas,Q101998685
par_8_06414,Biblioteca del Centro Asociado de la UNED de Madrid - Centro de Zona de Las Rozas,Q85696353
par_8_06415,Ciudad del Fútbol de Las Rozas,Q1094390
par_8_06416,Lazarejo 2000,Q115505136
par_8_06417,Lazarejo 2000,Q115505136
par_8_06418,Las Rozas de Madrid,Q24012694
par_8_06419,Las Rozas de Madrid,Q24012694
par_8_06420,Centro Universitario de Tecnología y Arte Digital,Q30297171
par_8_06421,Centro Universitario de Tecnología y Arte Digital,Q30297171
par_8_06424,Hostal Doña Isabel,Q111117109
par_8_06429,Biblioteca Municipal - Francisco Umbral,Q85698734
par_8_06444,Pozuelo de Alarcón,Q24012704
par_8_06445,casa consistorial de Pozuelo de Alarcón,Q126830182
par_8_06446,M-508,Q56260932
par_8_06447,M-508,Q56260932
par_8_06457,Biblioteca Municipal - Rosalía de Castro,Q85698923
par_8_06458,Biblioteca Municipal - Rosalía de Castro,Q85698923
par_8_06466,Observatorio Pozuelo,Q115250729
par_8_06468,Observatorio Pozuelo,Q115250729
par_8_06475,Parque Fuente de la Salud,Q24023147
par_8_06476,Unidad de Investigación en Salud Digital,Q108737740
par_8_06478,Pozuelo de Alarcón,Q24012704
par_8_06479,Unidad de Investigación en Salud Digital,Q108737740
par_8_06480,Primera batalla de la carretera de La Coruña,Q2890637
par_8_06496,Estación de Berna,Q3638652
par_8_06507,Instituto de Estudios Bursátiles,Q5917314
par_8_06508,Cerro de Valdecaondi,Q24021382
par_8_06510,Zielo Shopping Pozuelo,Q5687741
par_8_06511,Instituto de Estudios Bursátiles,Q5917314
par_8_06513,plaza de toros de Las Rozas,Q101998685
par_8_06514,plaza de toros de Las Rozas,Q101998685
