service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1387240_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387245_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387247_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387248_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387242_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387243_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387244_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387241_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387246_8__281___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1386584_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386585_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386602_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386583_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386593_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386596_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386599_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386604_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386605_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386609_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386587_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386588_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386589_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386595_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386606_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386608_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386611_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386612_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386610_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386594_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386597_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386598_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386603_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386581_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386591_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386592_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386600_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386601_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386582_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386586_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386590_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386607_8__281___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386821_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386827_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386833_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386835_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386815_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386820_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386831_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386822_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386840_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386816_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386817_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386823_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386824_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386825_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386826_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386828_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386829_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386830_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386832_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386838_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386818_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386819_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386834_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386836_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386837_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386839_8__282___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1387162_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387163_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387169_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387165_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387164_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387166_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387161_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387168_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387170_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387171_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387167_8__282___,0,0,0,0,0,1,0,2025-09-13,2026-10-11
1387252_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387254_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387256_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387249_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387250_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387258_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387253_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387257_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387251_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1387255_8__282___,0,0,0,0,0,0,1,2025-09-14,2026-10-12
1386619_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386624_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386633_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386616_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386617_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386621_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386625_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386627_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386631_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386637_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386620_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386623_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386630_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386634_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386614_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386629_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386632_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386635_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386613_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386615_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386622_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386626_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386628_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386636_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386618_8__282___,1,1,1,1,0,0,0,2025-09-15,2026-10-09
1386847_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386841_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386846_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386848_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386842_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386845_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386849_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386843_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
1386850_8__283___,0,0,0,0,1,0,0,2025-09-12,2026-10-10
