id,name,population
05220_AM,San Pedro del Arroyo agregacion de municipios,5246
05238_AM,Solosancho agregacion de municipios,5593
05240_AM,Sotillo de la Adrada agregacion de municipios,6227
05241_AM,"Tiemblo, El agregacion de municipios",4772
05242_AM,Tiñosillos agregacion de municipios,4659
06002,Aceuchal,5467
06005_AM,"Albuera, La agregacion de municipios",6889
06006,Alburquerque,5245
06011,Almendralejo,33741
06012_AM,Arroyo de San Serván agregacion de municipios,6330
06014,Azuaga,7702
06015,Badajoz,150610
06016_AM,Barcarrota agregacion de municipios,5190
06019_AM,Berlanga agregacion de municipios,7780
06020_AM,Bienvenida agregacion de municipios,3848
06022,Burguillos del Cerro,3076
06023,Cabeza del Buey,4732
06025,Calamonte,6152
06028,Campanario,4823
06033_AM,Casas de Don Pedro agregacion de municipios,3718
06036_AM,Castuera agregacion de municipios,8133
06039_AM,"Coronada, La agregacion de municipios",3892
06044_AM,Don Benito agregacion de municipios,39214
06050,Fregenal de la Sierra,4811
06051_AM,Fuenlabrada de los Montes agregacion de municipios,3726
06052_AM,Fuente de Cantos agregacion de municipios,5405
06054,Fuente del Maestre,6704
06055_AM,Fuentes de León agregacion de municipios,6322
06058_AM,"Garrovilla, La agregacion de municipios",4793
06059_AM,Granja de Torrehermosa agregacion de municipios,2806
06060_AM,Guareña agregacion de municipios,9251
06063,Herrera del Duque,3465
06066_AM,Higuera de Vargas agregacion de municipios,5430
06067_AM,Higuera la Real agregacion de municipios,3219
06069_AM,Hornachos agregacion de municipios,5240
06070_AM,Jerez de los Caballeros agregacion de municipios,10658
06072,Lobón,2760
06074_AM,Llerena agregacion de municipios,7348
06080_AM,Medellín agregacion de municipios,3906
06083,Mérida,59424
06085_AM,Monesterio agregacion de municipios,6297
06087_AM,Monterrubio de la Serena agregacion de municipios,3120
06088,Montijo,15483
06091,Navalvillar de Pela,4392
06093_AM,Oliva de la Frontera agregacion de municipios,5798
06094_AM,Oliva de Mérida agregacion de municipios,5653
06095,Olivenza,11871
06097_AM,Orellana la Vieja agregacion de municipios,3702
06103,Puebla de la Calzada,5861
06108,Puebla de Sancho Pérez,2665
06109,Quintana de la Serena,4576
06113_AM,Ribera del Fresno agregacion de municipios,5587
06117_AM,Salvatierra de los Barros agregacion de municipios,4721
06120,Santa Amalia,3957
06121,Santa Marta,4094
06122,"Santos de Maimona, Los",8064
06123_AM,San Vicente de Alcántara agregacion de municipios,7389
06125_AM,Siruela agregacion de municipios,5009
06126_AM,Solana de los Barros agregacion de municipios,4047
06127,Talarrubias,3355
06128,Talavera la Real,5311
06135_AM,Trujillanos agregacion de municipios,3209
06141_AM,Valencia del Ventoso agregacion de municipios,4681
06143,Valverde de Leganés,4157
06149,Villafranca de los Barros,12534
06153,Villanueva de la Serena,25837
06154,Villanueva del Fresno,3335
06155_AM,Villar del Rey agregacion de municipios,7727
06158,Zafra,16786
06159,Zahínos,2780
06160_AM,Zalamea de la Serena agregacion de municipios,5570
06162,"Zarza, La",3380
06901,Valdelacalzada,2731
06903_AM,Guadiana agregacion de municipios,4454
07001,Alaró,5741
07002,Alaior,9477
